Title,location,Price,urls
10 marla brand new house for sale,"Bahria Enclave, Bahria Town",3.9 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_10_marla_brand_new_house_for_sale-47000423-1705-1.html
10 Marla Brand New House Avalabil Far Sale In G13 ISLAMABAD,"G-13, Islamabad",9.7 Crore,https://www.zameen.com//Property/islamabad_g-13_10_marla_brand_new_house_avalabil_far_sale_in_g13_islamabad-46184411-330-1.html
In G-13 4 Marla House For sale,"G-13, Islamabad",3.15 Crore,https://www.zameen.com//Property/islamabad_g-13_in_g-13_4_marla_house_for_sale-48001094-330-1.html
Get A 10 Marla House For Sale In G-13,"G-13, Islamabad",7 Crore,https://www.zameen.com//Property/islamabad_g-13_get_a_10_marla_house_for_sale_in_g-13-48001096-330-1.html
Buy A House Of 3200 Square Feet In G-13,"G-13, Islamabad",8.5 Crore,https://www.zameen.com//Property/islamabad_g-13_buy_a_house_of_3200_square_feet_in_g-13-48001095-330-1.html
A 1800 Square Feet House Located In G-13 Is Available For sale,"G-13, Islamabad",5.5 Crore,https://www.zameen.com//Property/islamabad_g-13_a_1800_square_feet_house_located_in_g-13_is_available_for_sale-48001097-330-1.html
Corner Category Option Of 4 Kanal Foem Houses Available On Down Payment In Sec M Near To Simli Dam Road Bahria Enclave Islamabad,"Bahria Enclave - Sector M, Bahria Enclave",8 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_m_corner_category_option_of_4_kanal_foem_houses_available_on_down_payment_in_sec_m_near_to_simli_dam_road_bahria_enclave_islamabad-46238416-11977-1.html
Brand New Designer Kanal Park Facing House Available For Sale In Sec C Bahria Enclave Islamabad,"Bahria Enclave - Sector C, Bahria Enclave",11.5 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_c_brand_new_designer_kanal_park_facing_house_available_for_sale_in_sec_c_bahria_enclave_islamabad-46705653-11973-1.html
BRAND NEW 13M CORNER PARK FACING A++ MATERIAL HOUSE AVAILABLE FOR SALE IN SEC C1 BAHRIA ENCLAVE ISLAMABAD,"Bahria Enclave - Sector C1, Bahria Enclave",6.75 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_c1_brand_new_13m_corner_park_facing_a_material_house_available_for_sale_in_sec_c1_bahria_enclave_islamabad-47428444-11987-1.html
Bahria Enclave Islamabad B 5 Marla House Available For Sale,"Bahria Enclave - Sector B1, Bahria Enclave",2.65 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_b1_bahria_enclave_islamabad_b_5_marla_house_available_for_sale-48167224-11972-1.html
5 Marla Brand New Double Storey With Basement And Solar Installed And Fully Furnished House For Sale,"Bahria Enclave - Sector B1, Bahria Enclave",3.05 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_b1_5_marla_brand_new_double_storey_with_basement_and_solar_installed_and_fully_furnished_house_for_sale-45642948-11972-1.html
10 Marla New House Available For Sale In Sector C1 Bahria Enclave Islamabad,"Bahria Enclave - Sector C1, Bahria Enclave",4.5 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_c1_10_marla_new_house_available_for_sale_in_sector_c1_bahria_enclave_islamabad-45292238-11987-1.html
Best Options For House Is Available For sale In Bahria Enclave - Sector C1,"Bahria Enclave - Sector C1, Bahria Enclave",4.8 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_c1_best_options_for_house_is_available_for_sale_in_bahria_enclave_-_sector_c1-44488367-11987-1.html
G-11/4 PHA D-Type Fully Renovated Ground Floor Flat For Sale,"G-11, Islamabad",2.6 Crore,https://www.zameen.com//Property/islamabad_g-11_g-11_4_pha_d-type_fully_renovated_ground_floor_flat_for_sale-48167171-168-1.html
Sector A 1 Bed Cube Apartment 1083 Square Feet Possessionable on 5th Floor Park Facing Available for Sale,"Bahria Enclave, Bahria Town",1 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_sector_a_1_bed_cube_apartment_1083_square_feet_possessionable_on_5th_floor_park_facing_available_for_sale-48023568-1705-1.html
Galleria 3 Bed Apartment 1695 Square Feet on 1st Floor Outer facing Available for Sale,"Bahria Enclave, Bahria Town",1.5 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_galleria_3_bed_apartment_1695_square_feet_on_1st_floor_outer_facing_available_for_sale-47926007-1705-1.html
Beautiful Flat For Sale In I-8/1,"I-8/1, I-8",2.3 Crore,https://www.zameen.com//Property/i_8_i-8_1_beautiful_flat_for_sale_in_i-8_1-47566340-3441-1.html
Bahria Enclave Islamabad Sector I The Galleria Three Bed Gold Inner Face Appartment For Sale,"Bahria Enclave - Sector I, Bahria Enclave",1.45 Crore,https://www.zameen.com//Property/bahria_enclave_bahria_enclave_-_sector_i_bahria_enclave_islamabad_sector_i_the_galleria_three_bed_gold_inner_face_appartment_for_sale-48134834-11982-1.html
The Galleria Three Bed Room Diamond Category Apartment Available For Sale At Reasonable Price On 4th Floor,"Bahria Enclave, Bahria Town",2.15 Crore,https://www.zameen.com//Property/bahria_town_bahria_enclave_the_galleria_three_bed_room_diamond_category_apartment_available_for_sale_at_reasonable_price_on_4th_floor-47689663-1705-1.html
